Name,Act Type,Genre,Notes,Website
Rebirth Brass Band,Brass Band,"Brass, Funk, Hip-Hop / Bounce","Founded 1983 in the Treme by Philip Frazier. The defining contemporary brass band — fuses traditional second line with funk, R&B, and hip-hop. Tuesday night Maple Leaf residency is legendary.",https://rebirthbrassband.com
Tuba Skinny,Band,"Blues, Jazz","Traditional New Orleans jazz band led by Shaye Cohn (cornet). Frenchmen Street institution, particularly at d.b.a. Known for their authentic early jazz and blues sound. Large international following.",https://tubaskinny.com
Soul Rebels,Brass Band,"Brass, Funk, Hip-Hop / Bounce","Brass band that blends second line with hip-hop, funk, and electronic influences. Regular Thursday night residency at Le Bon Temps Roulé. Strong festival circuit presence.",https://thesoulrebels.com
Charmaine Neville,Solo Artist,"Jazz, R&B / Soul",Daughter of Charles Neville (Neville Brothers). R&B and soul vocalist. Regular Snug Harbor performer. Part of the extended Neville family musical dynasty.,
Hot 8 Brass Band,Brass Band,"Brass, Hip-Hop / Bounce, R&B / Soul",Grammy-winning brass band from Central City. Known for funk and hip-hop-inflected sound. Regular Howlin' Wolf residency. Survived tragedy and loss to become one of NOLA's most celebrated bands.,https://hot8brassband.com
Preservation Hall Jazz Band,Band,Jazz,"Resident band of Preservation Hall, St. Peter St. in the French Quarter. Multiple daily shows year-round. Jazz Fest institution. Preserves and evolves the New Orleans jazz tradition.",https://preservationhall.com
George Porter Jr.,Solo Artist,Funk,"Bassist and co-founder of The Meters, one of the most influential funk bands in history. Regular Daze Between and Jazz Fest performer. Leads his own group and collaborates widely.",https://georgeporterjr.com
Stanton Moore,Solo Artist,Funk,"Drummer and co-founder of Galactic. Known for deep pocket New Orleans funk drumming. Regular clinician, session musician, and bandleader. Hosts annual Zildjian Jam at Tipitina's.",https://stantonmoore.com
Dirty Dozen Brass Band,Brass Band,"Brass, Jazz",Founded 1977 in the Treme. One of the originators of the modern brass band movement. Roger Lewis (baritone sax) inducted into Tipitina's Walk of Fame 2026.,https://dirtydozenbrass.com
Big Freedia,Solo Artist,Hip-Hop / Bounce,Queen of Bounce. New Orleans-born LGBTQ+ icon and bounce music pioneer. Regular Jazz Fest and festival presence. Based in the 9th Ward.,https://bigfreedia.com
Dumpstaphunk,Band,Funk,"New Orleans funk supergroup featuring Ivan Neville, Tony Hall, Nick Daniels, and Raymond Weber. Ivan Neville is son of Aaron Neville. Regular Jazz Fest and Daze Between presence.",https://dumpstaphunk.com
Trombone Shorty,Solo Artist,"Brass, Funk",Born Troy Andrews in the Treme. Founder of Trombone Shorty Foundation. Leads Orleans Avenue. Annual Shorty Fest fundraiser at Tipitina's. Jazz Fest perennial headliner.,https://tromboneshortyfoundation.org
Kermit Ruffins,Solo Artist,"Brass, Jazz","Trumpeter, vocalist, and NOLA ambassador. Co-founder of Rebirth Brass Band. Known for BBQ cookouts before shows. Regular presence at Vaughan's Lounge (Thursdays) and multiple festivals.",https://kermitruffins.com
The Meters,,,,
